District,Unit  ,Inci_no   ,incid_descrip,Alm_d  m            ,Disp_d    m           ,No  if_d    m          ,Roll_d    m           ,Arv_d    m            ,In_d    m             ,City                     ,Zip       ,Shift,Lattitude,Longitude
New North End,A2,19-0002649,EMS call,5/3/2019 17:13,5/3/2019 17:13,5/3/2019 17:15,5/3/2019 17:15,5/3/2019 17:22,5/3/2019 17:53,BURLINGTON,5408,A,44.52588214,-73.26858972
New North End,A2,19-0002760,EMS call,5/9/2019 6:45,5/9/2019 6:45,5/9/2019 6:47,5/9/2019 6:48,5/9/2019 6:51,5/9/2019 7:26,BURLINGTON,5408,A,44.52408782,-73.22370762
New North End,A2,19-0002766,EMS call,5/9/2019 10:36,5/9/2019 10:36,5/9/2019 10:36,5/9/2019 10:36,5/9/2019 10:40,5/9/2019 11:41,BURLINGTON,5408,A,44.50998211,-73.2561871
Hill Section,A1,18-0005738,EMS call,9/16/2018 16:42,9/16/2018 16:42,9/16/2018 16:42,9/16/2018 16:44,9/16/2018 16:48,9/16/2018 17:27,BURLINGTON,5401,C,44.47031642,-73.16532184
SB,A1,18-0005616,EMS call,9/12/2018 9:14,9/12/2018 9:14,9/12/2018 9:14,9/12/2018 9:16,9/12/2018 9:22,9/12/2018 10:20,SOUTH BURLINGTON,5403,B,44.44158056,-73.22184289
Downtown,R1,19-0006710,EMS call,10/24/2019 9:40,10/24/2019 9:40,10/24/2019 9:41,10/24/2019 9:42,10/24/2019 9:42,10/24/2019 9:55,BURLINGTON,5401,A,44.47473549,-73.19167909
Hill Section,R1,19-0006713,"Smoke scare, odor of smoke, not steam (652)",10/24/2019 11:18,10/24/2019 11:18,10/24/2019 11:19,10/24/2019 11:21,10/24/2019 11:23,10/24/2019 11:30,BURLINGTON,5401,A,44.46795049,-73.19146573
Hill Section,R1,19-0007237,Alarm system activation due to malfunction,11/13/2019 13:50,11/13/2019 13:50,11/13/2019 13:51,11/13/2019 13:54,11/13/2019 13:56,11/13/2019 14:23,BURLINGTON,5401,C,44.47017017,-73.1779307
Downtown,R1,19-0007546,Assist invalid,11/26/2019 21:00,11/26/2019 21:00,11/26/2019 21:00,11/26/2019 21:02,11/26/2019 21:05,11/26/2019 21:12,BURLINGTON,5401,A,44.47563462,-73.24303299
Downtown,R1,19-0006485,EMS call,10/14/2019 10:37,10/14/2019 10:37,10/14/2019 10:38,10/14/2019 10:40,10/14/2019 10:40,10/14/2019 11:06,BURLINGTON,5401,C,44.4613393,-73.20369759
Downtown,R1,19-0006500,EMS call,10/15/2019 2:59,10/15/2019 2:59,10/15/2019 3:01,10/15/2019 3:06,10/15/2019 3:11,10/15/2019 3:11,BURLINGTON,5401,A,44.48538582,-73.23799487
Old North End,6A1,19-0002396,EMS call,4/22/2019 13:08,4/22/2019 13:08,4/22/2019 13:14,4/22/2019 13:18,4/22/2019 13:32,4/22/2019 13:39,BURLINGTON,5401,B,44.50721434,-73.22227286
Hill Section,22A2,18-0006471,"Smoke detector activation (no fire), unintentional",10/14/2018 3:29,10/14/2018 3:29,10/14/2018 3:38,10/14/2018 3:38,10/14/2018 3:38,10/14/2018 3:45,BURLINGTON,5401,B,44.47810822,-73.2098432
Hill Section,R1,19-0003440,Smoke detector activation due to malfunction,6/10/2019 6:11,6/10/2019 6:11,6/10/2019 6:11,6/10/2019 6:14,6/10/2019 6:17,6/10/2019 6:25,BURLINGTON,5401,C,44.49057558,-73.20044828
Downtown,R1,19-0007200,Alarm system activation due to malfunction,11/11/2019 23:46,11/11/2019 23:46,11/11/2019 23:46,11/11/2019 23:49,11/11/2019 23:52,11/11/2019 23:53,BURLINGTON,5401,A,44.49607033,-73.20648008
