District,Unit  ,Inci_no   ,incid_descrip,Alm_d  m            ,Disp_d    m           ,No  if_d    m          ,Roll_d    m           ,Arv_d    m            ,In_d    m             ,City                     ,Zip       ,Shift,geopoint
New North End,A2,19-0002649,EMS call,5/3/19 17:13,5/3/19 17:13,5/3/19 17:15,5/3/19 17:15,5/3/19 17:22,5/3/19 17:53,BURLINGTON,5408,A,"44.5258821374,-73.2685897203"
New North End,A2,19-0002760,EMS call,5/9/19 6:45,5/9/19 6:45,5/9/19 6:47,5/9/19 6:48,5/9/19 6:51,5/9/19 7:26,BURLINGTON,5408,A,"44.5240878236,-73.2237076246"
New North End,A2,19-0002766,EMS call,5/9/19 10:36,5/9/19 10:36,5/9/19 10:36,5/9/19 10:36,5/9/19 10:40,5/9/19 11:41,BURLINGTON,5408,A,"44.5099821052,-73.2561870995"
Hill Section,A1,18-0005738,EMS call,9/16/18 16:42,9/16/18 16:42,9/16/18 16:42,9/16/18 16:44,9/16/18 16:48,9/16/18 17:27,BURLINGTON,5401,C,"44.4703164213,-73.1653218399"
SB,A1,18-0005616,EMS call,9/12/18 9:14,9/12/18 9:14,9/12/18 9:14,9/12/18 9:16,9/12/18 9:22,9/12/18 10:20,SOUTH BURLINGTON,5403,B,"44.4415805561,-73.221842887"
Downtown,R1,19-0006710,EMS call,10/24/19 9:40,10/24/19 9:40,10/24/19 9:41,10/24/19 9:42,10/24/19 9:42,10/24/19 9:55,BURLINGTON,5401,A,"44.4747354891,-73.1916790898"
Hill Section,R1,19-0006713,"Smoke scare, odor of smoke, not steam (652)",10/24/19 11:18,10/24/19 11:18,10/24/19 11:19,10/24/19 11:21,10/24/19 11:23,10/24/19 11:30,BURLINGTON,5401,A,"44.4679504855,-73.1914657345"
Hill Section,R1,19-0007237,Alarm system activation due to malfunction,11/13/19 13:50,11/13/19 13:50,11/13/19 13:51,11/13/19 13:54,11/13/19 13:56,11/13/19 14:23,BURLINGTON,5401,C,"44.4701701732,-73.1779306963"
Downtown,R1,19-0007546,Assist invalid,11/26/19 21:00,11/26/19 21:00,11/26/19 21:00,11/26/19 21:02,11/26/19 21:05,11/26/19 21:12,BURLINGTON,5401,A,"44.4756346202,-73.2430329902"
Downtown,R1,19-0006485,EMS call,10/14/19 10:37,10/14/19 10:37,10/14/19 10:38,10/14/19 10:40,10/14/19 10:40,10/14/19 11:06,BURLINGTON,5401,C,"44.4613393005,-73.2036975946"
